vacancy name: ,vacancy deadline: ,vacancy link: 
Ekvayrinq biznesinə xidmət və inkişaf şöbəsinin Kiçik mütəxəssisi/ Mütəxəssisi/Aparıcı mütəxəssisi,Son müraciət tarixi: 12.01.2025,https://glorri.com/unibank/674f020dfcbd4e22c9428414
Senior IOS Developer,Son müraciət tarixi: 31.12.2024,https://glorri.com/unibank/6207895df7a5c25740f0b717
Android Developer,Son müraciət tarixi: 31.12.2024,https://glorri.com/unibank/61516a24e38ec23b327bf971
Java backend developer (junior/middle) (Ödəniş sistemlərinin inkişafı şöbəsi),Son müraciət tarixi: 31.12.2024,https://glorri.com/unibank/6715f4494ce135f356b34049
Müştərilərlə əlaqələr şöbəsinin (Call Center) kiçik mütəxəssisi,Son müraciət tarixi: 11.01.2025,https://glorri.com/unibank/674d54fc2f172958db41ff91
Kiber hücumların simulyasiyası üzrə mütəxəssis,Son müraciət tarixi: 14.12.2024,https://glorri.com/unibank/66fbb0bfcfc44fcef67bec44
İnformasiya sistemlərinin mühafizəsi üzrə Aparıcı mütəxəssis,Son müraciət tarixi: 17.12.2024,https://glorri.com/unibank/672c4d33602cec47c401c363
İnformasiya sistemlərinin mühafizəsi üzrə Aparıcı Mütəxəssis (Leading system security Specialist),Son müraciət tarixi: 07.01.2025,https://glorri.com/unibank/66a2041ed8550322c8f3cd3c
Rəqəmsal məhsullar üzrə Dizayner,Son müraciət tarixi: 07.01.2025,https://glorri.com/unibank/620f387bb59b6fd0f6c2f9ec
Junior Devops Engineer,Son müraciət tarixi: 06.01.2025,https://glorri.com/unibank/620c8fa4b59b6f39bbc2e25c
BI Engineer - BI üzrə Mühəndis,Son müraciət tarixi: 15.12.2024,https://glorri.com/unibank/641186bf49e7ba5e080e53c4
Biznes araşdırmaları üzrə baş mütəxəssis,Son müraciət tarixi: 25.12.2024,https://glorri.com/unibank/674450fe6e6b7e78826b412e
Senior Scrum Master,Son müraciət tarixi: 13.12.2024,https://glorri.com/unibank/674412a2142276384a97672f
Elektron Ticarət sisteminin inzibatçısı (Ödəniş kartları və Prosessinq departamenti),Son müraciət tarixi: 02.01.2025,https://glorri.com/unibank/6741b4aa48f0d0d0f602fa6e
İnsan Resurları üzrə təcrübəçi,Son müraciət tarixi: 30.12.2024,https://glorri.com/unibank/673ddbd2e4377c47eb9f7f65
Əməliyyat riskləri Şöbəsinin Müdiri,Son müraciət tarixi: 18.12.2024,https://glorri.com/unibank/673afd30cb33665d7cd1f23b
Əməliyyat prosessinqi şöbəsinin aparıcı Mütəxəssisi,Son müraciət tarixi: 28.12.2024,https://glorri.com/unibank/673adfbfcb33664dbcd0f1e8
"SQL, PL/SQL Developer",Son müraciət tarixi: 28.12.2024,https://glorri.com/unibank/6336e07b5a7b345cbca43184
Ümumi işlər üzrə mütəxəssis (Kürdəmir filialı),Son müraciət tarixi: 31.12.2024,https://glorri.com/unibank/6738a14ceba83c662a37c731
Ümumi işlər üzrə mütəxəssis (Şirvan filialı),Son müraciət tarixi: 31.12.2024,https://glorri.com/unibank/6738a104eba83c257637c560
Ümumi işlər üzrə mütəxəssis (Beyləqan filialı),Son müraciət tarixi: 31.12.2024,https://glorri.com/unibank/6738a08ceba83c661837bf74
Pərakəndə xidmətlər və istehlak kreditləri üzrə kiçik və mütəxəssis (Kürdəmir filialı),Son müraciət tarixi: 31.12.2024,https://glorri.com/unibank/67389e9beba83ca3ce37af95
Pərakəndə xidmətlər və istehlak kreditləri üzrə kiçik və mütəxəssis (Şirvan filialı),Son müraciət tarixi: 31.12.2024,https://glorri.com/unibank/67389cefeba83c17ab37a52d
IT Sistemlərin Monitorinqi üzrə Rəhbər,Son müraciət tarixi: 26.12.2024,https://glorri.com/unibank/673896153889dbbe6a608b11
Pərakəndə xidmətlər və istehlak kreditləri üzrə mütəxəssis (Beyləqan filialı),Son müraciət tarixi: 31.12.2024,https://glorri.com/unibank/67389ac13889dbf27260a90e
Kürdəmir filialı - Mikromaliyyələşdirmə üzrə mütəxəssis (Middle office),Son müraciət tarixi: 26.12.2024,https://glorri.com/unibank/67384e07cb5b8b1059009b39
Beyləqan filialı - Mikromaliyyələşdirmə üzrə mütəxəssis (Middle office),Son müraciət tarixi: 26.12.2024,https://glorri.com/unibank/67384d36cb5b8bc423009412
Şirvan filialı - Mikromaliyyələşdirmə üzrə mütəxəssis (Middle office),Son müraciət tarixi: 26.12.2024,https://glorri.com/unibank/67384c7acb5b8b3528008954
İT Biznes Analitik,Son müraciət tarixi: 26.12.2024,https://glorri.com/unibank/66eaaa23a78988a2893cae31
Verilənlər üzrə Baş Mühəndis (Senior Data engineer),Son müraciət tarixi: 25.12.2024,https://glorri.com/unibank/6645c3fe76d2d76433354ec9
Aparıcı\Baş hüquqşünas,Son müraciət tarixi: 25.12.2024,https://glorri.com/unibank/66d704acd44978b3bd1445e9
Senior/Middle QA Engineer,Son müraciət tarixi: 24.12.2024,https://glorri.com/unibank/621348dbb59b6f882ac3166c
Middle Java Developer,Son müraciət tarixi: 24.12.2024,https://glorri.com/unibank/6165642ac9d4dd74977b0bc7
Payroll üzrə təcrübəçi,Son müraciət tarixi: 17.12.2024,https://glorri.com/unibank/672c64f2b816bf1f125824f6
Senior Java Developer,Son müraciət tarixi: 11.12.2024,https://glorri.com/unibank/65817ab421cae5575f4771a3
Ümumi işlər üzrə mütəxəssis,Son müraciət tarixi: 09.12.2024,https://glorri.com/unibank/672234853ed3ea9378047b75
Korporativ kreditlər üzrə kiçik mütəxəssis (Bakı-Abşeron),Son müraciət tarixi: 09.12.2024,https://glorri.com/unibank/66ebd870f283fad1485981de
